time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-12-01T03:00:00.0000000Z,2019-12-01T03:30:00.0000000Z,2019-12-01T03:00:14.1390000Z,2019-12-01T03:29:58.8150000Z,146.75,147.58,146.0,147.0,1555.92203063,228
2019-12-01T03:30:00.0000000Z,2019-12-01T04:00:00.0000000Z,2019-12-01T03:30:00.7720000Z,2019-12-01T03:59:37.4080000Z,147.0,147.41,146.33,147.41,1407.75456369,161
2019-12-01T04:00:00.0000000Z,2019-12-01T04:30:00.0000000Z,2019-12-01T04:00:03.5080000Z,2019-12-01T04:29:40.6460000Z,147.09,147.49,147.0,147.24,643.11793752,145
2019-12-01T04:30:00.0000000Z,2019-12-01T05:00:00.0000000Z,2019-12-01T04:30:00.8920000Z,2019-12-01T04:59:59.8250000Z,147.24,148.25,147.05,148.25,263.61784393,114
2019-12-01T05:00:00.0000000Z,2019-12-01T05:30:00.0000000Z,2019-12-01T05:00:09.1100000Z,2019-12-01T05:29:55.7970000Z,148.25,148.56,147.51,147.8,1088.29148522,169
2019-12-01T05:30:00.0000000Z,2019-12-01T06:00:00.0000000Z,2019-12-01T05:30:37.9480000Z,2019-12-01T05:58:05.9020000Z,147.75,147.96,147.36,147.87,197.7039236,88
2019-12-01T06:00:00.0000000Z,2019-12-01T06:30:00.0000000Z,2019-12-01T06:00:17.9080000Z,2019-12-01T06:29:47.9040000Z,148.01,148.25,147.68,147.79,95.12409902,124
2019-12-01T06:30:00.0000000Z,2019-12-01T07:00:00.0000000Z,2019-12-01T06:30:35.9140000Z,2019-12-01T06:59:35.4390000Z,147.7,148.06,147.36,147.41,67.17708271,84
2019-12-01T07:00:00.0000000Z,2019-12-01T07:30:00.0000000Z,2019-12-01T07:01:35.8150000Z,2019-12-01T07:29:53.5340000Z,147.4,147.99,147.37,147.72,164.62620751,99
2019-12-01T07:30:00.0000000Z,2019-12-01T08:00:00.0000000Z,2019-12-01T07:30:00.8690000Z,2019-12-01T07:59:30.8160000Z,147.72,147.82,146.64,146.99,102.98379441,69
2019-12-01T08:00:00.0000000Z,2019-12-01T08:30:00.0000000Z,2019-12-01T08:00:41.7100000Z,2019-12-01T08:29:39.8820000Z,147.01,147.63,146.52,147.21,157.81876689,68
2019-12-01T08:30:00.0000000Z,2019-12-01T09:00:00.0000000Z,2019-12-01T08:30:04.8590000Z,2019-12-01T08:53:11.0600000Z,147.23,147.43,146.8,146.98,702.64783472,105
2019-12-01T09:00:00.0000000Z,2019-12-01T09:30:00.0000000Z,2019-12-01T09:00:00.6810000Z,2019-12-01T09:29:56.0050000Z,146.97,147.19,146.85,146.97,118.42718672,78
2019-12-01T09:30:00.0000000Z,2019-12-01T10:00:00.0000000Z,2019-12-01T09:30:05.2360000Z,2019-12-01T09:59:16.7400000Z,146.97,147.65,146.05,147.65,665.52276174,193
2019-12-01T10:00:00.0000000Z,2019-12-01T10:30:00.0000000Z,2019-12-01T10:00:34.4150000Z,2019-12-01T10:29:57.3740000Z,147.59,148.0,146.98,148.0,177.88542416,70
2019-12-01T10:30:00.0000000Z,2019-12-01T11:00:00.0000000Z,2019-12-01T10:30:03.4390000Z,2019-12-01T10:59:05.3860000Z,148.04,148.45,147.81,147.94,667.64772454,173
2019-12-01T11:00:00.0000000Z,2019-12-01T11:30:00.0000000Z,2019-12-01T11:00:28.5370000Z,2019-12-01T11:29:52.1880000Z,148.1,148.32,147.74,147.84,230.63280895,99
2019-12-01T11:30:00.0000000Z,2019-12-01T12:00:00.0000000Z,2019-12-01T11:30:07.2930000Z,2019-12-01T11:59:13.0630000Z,147.87,147.9,147.4,147.4,67.02630122,68
2019-12-01T12:00:00.0000000Z,2019-12-01T12:30:00.0000000Z,2019-12-01T12:00:51.5090000Z,2019-12-01T12:29:24.3670000Z,147.39,147.78,147.39,147.6,54.81285203,80
2019-12-01T12:30:00.0000000Z,2019-12-01T13:00:00.0000000Z,2019-12-01T12:32:53.6060000Z,2019-12-01T12:59:11.3210000Z,147.69,148.71,147.69,148.37,414.58022105,101
2019-12-01T13:00:00.0000000Z,2019-12-01T13:30:00.0000000Z,2019-12-01T13:00:17.3420000Z,2019-12-01T13:29:50.2080000Z,148.24,149.82,148.24,149.06,485.2471606,261
2019-12-01T13:30:00.0000000Z,2019-12-01T14:00:00.0000000Z,2019-12-01T13:30:04.7140000Z,2019-12-01T13:59:55.6320000Z,149.09,151.47,149.09,151.17,1777.70678607,244
2019-12-01T14:00:00.0000000Z,2019-12-01T14:30:00.0000000Z,2019-12-01T14:00:08.9900000Z,2019-12-01T14:28:49.2210000Z,151.2,152.49,151.2,151.2,268.19438618,101
2019-12-01T14:30:00.0000000Z,2019-12-01T15:00:00.0000000Z,2019-12-01T14:30:30.0350000Z,2019-12-01T14:59:07.8850000Z,151.22,151.24,150.76,150.76,81.03384148,47
2019-12-01T15:00:00.0000000Z,2019-12-01T15:30:00.0000000Z,2019-12-01T15:00:00.7290000Z,2019-12-01T15:29:40.3140000Z,150.76,151.01,150.12,150.35,188.25651116,129
2019-12-01T15:30:00.0000000Z,2019-12-01T16:00:00.0000000Z,2019-12-01T15:30:16.7750000Z,2019-12-01T15:59:41.7250000Z,150.36,150.48,149.23,149.38,326.13595648,150
2019-12-01T16:00:00.0000000Z,2019-12-01T16:30:00.0000000Z,2019-12-01T16:00:08.2030000Z,2019-12-01T16:29:51.9020000Z,149.47,150.51,149.15,150.04,424.2790132,98
2019-12-01T16:30:00.0000000Z,2019-12-01T17:00:00.0000000Z,2019-12-01T16:30:03.5730000Z,2019-12-01T16:59:37.8760000Z,150.02,150.27,149.57,150.1,684.1268298,130
2019-12-01T17:00:00.0000000Z,2019-12-01T17:30:00.0000000Z,2019-12-01T17:00:18.0310000Z,2019-12-01T17:28:19.2540000Z,150.07,150.29,149.51,149.7,297.30085459,84
2019-12-01T17:30:00.0000000Z,2019-12-01T18:00:00.0000000Z,2019-12-01T17:30:00.7100000Z,2019-12-01T17:59:58.6050000Z,149.84,150.32,149.84,150.11,65.53076068,50
2019-12-01T18:00:00.0000000Z,2019-12-01T18:30:00.0000000Z,2019-12-01T18:00:16.4580000Z,2019-12-01T18:29:07.7790000Z,150.12,150.49,149.99,150.33,372.17744264,70
2019-12-01T18:30:00.0000000Z,2019-12-01T19:00:00.0000000Z,2019-12-01T18:30:18.3200000Z,2019-12-01T18:58:40.7300000Z,150.38,150.48,149.2,149.95,1819.36487799,106
2019-12-01T19:00:00.0000000Z,2019-12-01T19:30:00.0000000Z,2019-12-01T19:01:08.5240000Z,2019-12-01T19:29:39.2160000Z,149.96,149.96,149.34,149.34,121.13977128,92
2019-12-01T19:30:00.0000000Z,2019-12-01T20:00:00.0000000Z,2019-12-01T19:30:42.1930000Z,2019-12-01T19:59:43.8170000Z,149.29,150.11,149.26,149.96,363.49821737,89
2019-12-01T20:00:00.0000000Z,2019-12-01T20:30:00.0000000Z,2019-12-01T20:01:31.1880000Z,2019-12-01T20:28:56.2070000Z,150.24,150.53,149.95,150.5,55.14314108,56
2019-12-01T20:30:00.0000000Z,2019-12-01T21:00:00.0000000Z,2019-12-01T20:30:16.2910000Z,2019-12-01T20:59:47.3000000Z,150.26,150.3,150.0,150.07,27.38255573,35
2019-12-01T21:00:00.0000000Z,2019-12-01T21:30:00.0000000Z,2019-12-01T21:01:01.2640000Z,2019-12-01T21:26:43.0420000Z,150.0,150.46,149.74,150.31,1102.03821572,108
2019-12-01T21:30:00.0000000Z,2019-12-01T22:00:00.0000000Z,2019-12-01T21:31:50.0360000Z,2019-12-01T21:59:04.0840000Z,150.31,151.15,150.31,150.99,492.4790915,105
2019-12-01T22:00:00.0000000Z,2019-12-01T22:30:00.0000000Z,2019-12-01T22:00:21.9350000Z,2019-12-01T22:26:05.2390000Z,151.12,151.9,150.93,150.98,233.58561165,91
2019-12-01T22:30:00.0000000Z,2019-12-01T23:00:00.0000000Z,2019-12-01T22:30:55.8130000Z,2019-12-01T22:59:22.7330000Z,150.71,151.61,150.71,151.49,65.21518107,40
2019-12-01T23:00:00.0000000Z,2019-12-01T23:30:00.0000000Z,2019-12-01T23:00:43.6870000Z,2019-12-01T23:28:46.1850000Z,151.71,152.19,151.52,151.58,615.62177114,70
2019-12-01T23:30:00.0000000Z,2019-12-02T00:00:00.0000000Z,2019-12-01T23:36:38.5110000Z,2019-12-01T23:59:26.7720000Z,151.21,151.46,150.76,150.76,282.60531948,40
